"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-03-10",37,2,,,0,,8,7767,2184,,,0,1555,387,,51,16189,2683
"2020-03-09",35,4,,,2,,8,5583,1534,,,0,1168,292,,51,13506,1900
"2020-03-08",31,4,,,0,,6,4049,716,,,0,876,198,,51,11606,944
"2020-03-07",27,1,,,0,,6,3333,661,,,0,678,178,,51,10662,941
"2020-03-06",26,6,,,1,,6,2672,723,,,0,500,112,,38,9721,877
"2020-03-05",20,4,,,1,,5,1949,532,,,0,388,107,,26,8844,642
"2020-03-04",16,2,,,4,,4,1417,971,,,0,281,139,,19,8202,1121
"2020-03-03",14,3,,,0,,,446,203,,,0,142,48,,6,7081,266
"2020-03-02",11,3,,,0,,,243,158,,,0,94,44,,6,6815,212
"2020-03-01",8,3,,,0,,,85,61,,,0,50,32,,6,6603,95
"2020-02-29",5,1,,,0,,,24,24,,,0,18,18,,4,6508,45
"2020-02-28",4,2,,,0,,,0,0,,,0,0,0,,4,6463,2
"2020-02-27",2,0,,,0,,,0,0,,,0,0,0,,4,6461,6445
"2020-02-26",2,2,,,0,,,0,0,,,0,0,0,,3,16,0
"2020-02-25",0,0,,,0,,,0,0,,,0,0,0,,3,16,0
"2020-02-24",0,0,,,0,,,0,0,,,0,0,0,,3,16,2
"2020-02-23",0,0,,,0,,,0,0,,,0,0,0,,3,14,0
"2020-02-22",0,0,,,0,,,0,0,,,0,0,0,,3,14,0
"2020-02-21",0,0,,,0,,,0,0,,,0,0,0,,3,14,0
"2020-02-20",0,0,,,0,,,0,0,,,0,0,0,,3,14,1
"2020-02-19",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-18",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-17",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-16",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-15",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-14",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-13",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-12",0,0,,,0,,,0,0,,,0,0,0,,3,13,1
"2020-02-11",0,0,,,0,,,0,0,,,0,0,0,,3,12,0
"2020-02-10",0,0,,,0,,,0,0,,,0,0,0,,3,12,1
"2020-02-09",,0,,,0,,,0,0,,,0,0,0,,2,11,0
"2020-02-08",,0,,,0,,,0,0,,,0,0,0,,2,11,1
"2020-02-07",,0,,,0,,,0,0,,,0,0,0,,2,10,0
"2020-02-06",,0,,,0,,,0,0,,,0,0,0,,2,10,1
"2020-02-05",,0,,,0,,,0,0,,,0,0,0,,2,9,0
"2020-02-04",,0,,,0,,,0,0,,,0,0,0,,2,9,2
"2020-02-03",,0,,,0,,,0,0,,,0,0,0,,2,7,3
"2020-02-02",,0,,,0,,,0,0,,,0,0,0,,2,4,0
"2020-02-01",,0,,,0,,,0,0,,,0,0,0,,2,4,0
"2020-01-31",,0,,,0,,,0,0,,,0,0,0,,2,4,0
"2020-01-30",,0,,,0,,,0,0,,,0,0,0,,2,4,0
"2020-01-29",,0,,,0,,,0,0,,,0,0,0,,2,4,1
"2020-01-28",,0,,,0,,,0,0,,,0,0,0,,2,3,0
"2020-01-27",,0,,,0,,,0,0,,,0,0,0,,2,3,1
"2020-01-26",,0,,,0,,,0,0,,,0,0,0,,2,2,0
"2020-01-25",,0,,,0,,,0,0,,,0,0,0,,2,2,0
"2020-01-24",,0,,,0,,,0,0,,,0,0,0,,2,2,0
"2020-01-23",,0,,,0,,,0,0,,,0,0,0,,2,2,1
"2020-01-22",,0,,,0,,,0,0,,,0,0,0,,2,1,0
